Number,Name,Nat,Pos,Height,Height_cm,Weight,Date of Birth,Age,Birth Place,Current Club,Group
3,Lœcio,BRA,D,1.88,188,84,08/05/1978,32,Bras’lia,Internazionale,G
4,Juan,BRA,D,1.82,182,78,01/02/1979,31,Rio de Janeiro,Roma,G
5,Felipe Melo,BRA,M,1.83,183,73,26/08/1983,26,Volta Redonda,Juventus,G
6,Michel Bastos,BRA,M,1.78,178,74,02/08/1983,26,Pelotas,Lyon,G
7,Elano,BRA,M,1.74,174,65,14/06/1981,28,Iracem‡polis,Galatasaray,G
8,Gilberto Silva,BRA,M,1.84,184,74,07/10/1976,33,Lagoa da Prata,Panathinaikos,G
9,Lu’s Fabiano,BRA,F,1.83,183,81,08/11/1980,29,Campinas,Sevilla,G
10,Kak‡,BRA,M,1.86,186,83,22/04/1982,28,Bras’lia,Real Madrid,G
11,Robinho,BRA,F,1.72,172,60,25/01/1984,26,S‹o Vicente,Manchester C,G
12,Heurelho Gomes,BRA,G,1.91,191,82,15/02/1981,29,Jo‹o Pinheiro,Tottenham H,G
13,Daniel Alves,BRA,D,1.73,173,64,06/05/1983,27,Juazeiro,Barcelona,G
14,Luis‹o,BRA,D,1.93,193,95,13/02/1981,29,Amparo,Benfica,G
15,Thiago Silva,BRA,D,1.83,183,79,22/09/1984,25,Rio de Janeiro,Milan,G
16,Gilberto,BRA,D,1.8,180,78,25/04/1976,34,Rio de Janeiro,Cruzeiro,G
17,Josu_,BRA,M,1.69,169,63,19/07/1979,30,Vitoria de Santo Ant‹o,Wolfsburg,G
18,Ramires,BRA,M,1.79,179,65,24/03/1987,23,Rio de Janeiro,Benfica,G
19,Jœlio Baptista,BRA,M,1.83,183,72,01/10/1981,28,S‹o Paulo,Roma,G
20,Kl_berson,BRA,M,1.75,175,64,19/06/1979,30,Urai,Flamengo,G
21,Nilmar,BRA,F,1.8,180,70,14/07/1984,25,Bandeirantes,Villarreal,G
22,Doni,BRA,G,1.94,194,90,22/10/1979,30,Jundia’,Roma,G
23,Grafite,BRA,F,1.89,189,81,02/04/1979,31,Jundia’,Wolfsburg,G
1,"Barry ""Copa"" Boubacar",CIV,G,1.8,180,69,30/12/1979,30,Marcory,Lokeren,G
2,Angoua Brou Benjamin,CIV,D,1.78,178,69,28/11/1986,23,Anyama,Valenciennes,G
3,Arthur Boka,CIV,D,1.66,166,67,02/04/1983,27,Abidjan,Stuttgart,G
4,Kolo Tour_,CIV,D,1.83,183,76,19/03/1981,29,Sokoura Bouak_,Manchester C,G
5,Didier Zokora,CIV,M,1.79,179,72,14/12/1980,29,Abidjan,Sevilla,G
6,Steve Gohouri,CIV,D,1.88,188,88,08/02/1981,29,Treichville,Wigan Ath,G
7,Seydou Doumbia,CIV,F,1.78,178,70,31/12/1987,22,Yamoussoukro,Young Boys,G
8,Salomon Kalou,CIV,F,1.84,184,77,05/08/1985,24,Oum_,Chelsea,G
9,Cheik Ismael Tiot_,CIV,M,1.8,180,79,21/06/1986,23,Yamoussoukro,FC Twente,G
10,"Kouassi Gervais ""Gervinho"" Yao",CIV,F,1.79,179,68,27/05/1987,23,Anyama,Lille,G
11,Didier Drogba,CIV,F,1.89,189,91,11/03/1978,32,Abidjan,Chelsea,G
12,Jean-Jacques Gosso,CIV,M,1.77,177,75,15/03/1983,27,Abidjan,Monaco,G
13,N'Dri Romaric,CIV,M,1.87,187,88,04/06/1983,27,Abidjan,Sevilla,G
14,Emmanuel Kon_,CIV,M,1.77,177,65,31/12/1986,23,Abongoua,CFR Cluj,G
15,Aruna Dindane,CIV,F,1.74,174,80,26/11/1980,29,Abidjan,Lens,G
16,Aristide Zogbo,CIV,G,1.84,184,80,30/12/1981,28,Abidjan,Maccabi Netanya,G
17,Siaka Ti_n_,CIV,D,1.76,176,72,22/02/1982,28,Abidjan,Valenciennes,G
18,Abdul Kader Ke•ta,CIV,F,1.84,184,78,06/08/1981,28,Abidjan,Galatasaray,G
19,Yaya Tour_,CIV,M,1.91,191,90,13/05/1983,27,Sokoura Bouak_,Barcelona,G
20,Guy Demel,CIV,D,1.88,188,88,13/06/1981,28,Orsay,Hamburg,G
21,Emmanuel Ebou_,CIV,D,1.78,178,72,04/06/1983,27,Abidjan,Arsenal,G
22,Souleymane Bamba,CIV,D,1.9,190,90,13/01/1985,25,Ivry-sur-Seine,Hibernian,G
23,Daniel Yeboah,CIV,G,1.87,187,84,13/11/1984,25,Treichville,ASEC Mimosas,G
1,Ri Myong-Guk,PRK,G,1.88,188,79,09/09/1986,23,Pyongyang,Pyongyang C,G
2,Cha Jong-Hyok,PRK,D,1.78,178,76,25/09/1985,24,Pyongyang,Amrokgang,G
3,Ri Jun-Il,PRK,D,1.78,178,74,24/08/1987,22,Pyongyang,Sobaeksu,G
4,Pak Nam-Chol,PRK,M,1.71,171,73,02/07/1985,24,Pyongyang,Apr-25,G
5,Ri Kwang-Chon,PRK,D,1.82,182,74,04/09/1985,24,Nampho,Apr-25,G
6,Kim Kum-Il,PRK,F,1.71,171,67,10/10/1987,22,Pyongyang,Apr-25,G
7,An Chol-Hyok,PRK,F,1.78,178,72,27/06/1985,24,Kanggye,Rimyongsu,G
8,Ji Yum-Nam,PRK,M,1.76,176,72,20/11/1976,33,Pyongyang,Apr-25,G
9,Jong Tae-Se,PRK,F,1.81,181,80,02/03/1984,26,Nagoya,Kawasaki Frontale,G
10,Hong Yong-Jo,PRK,F,1.75,175,68,22/05/1982,28,Pyongyang,FC Rostov,G
11,Mun In-Guk,PRK,M,1.68,168,65,29/09/1978,31,Pyongyang,Apr-25,G
12,Choe Kum-Chol,PRK,F,1.77,177,75,09/02/1987,23,Pyongyang,Apr-25,G
13,Pak Chol-Jin,PRK,D,1.85,185,78,05/09/1985,24,Pyongyang,Amrokgang,G
14,Pak Nam-Chol,PRK,D,1.83,183,78,03/10/1988,21,Pyongyang,Amrokgang,G
15,Kim Yong-Jun,PRK,M,1.82,182,75,19/07/1983,26,Pyongyang,Pyongyang C,G
16,Nam Song-Chol,PRK,D,1.78,178,75,07/05/1982,28,Pyongyang,Apr-25,G
17,An Yong-Hak,PRK,M,1.82,182,76,25/10/1978,31,Okayama,Omiya Ardija,G
18,Kim Myong-Gil,PRK,G,1.8,180,70,16/10/1984,25,Pyongyang,Amrokgang,G
19,Ri Chol-Myong,PRK,M,1.72,172,70,18/02/1988,22,Pyongyang,Pyongyang C,G
20,Kim Myong-Won,PRK,G,1.79,179,73,15/07/1983,26,Pyongyang,Amrokgang,G
21,Ri Kwang-Hyok,PRK,D,1.78,178,74,17/08/1987,22,Pyongyang,Kyonggongop,G
22,Kim Kyong-Il,PRK,M,1.71,171,68,11/12/1988,21,Pyongyang,Rimyongsu,G
23,Pak Sung-Hyok,PRK,M,1.8,180,73,30/05/1990,20,Pyongyang,Sobaeksu,G
1,Edward,POR,G,1.87,187,84,19/09/1982,27,Look at her,Sporting Braga,G
2,Bruno Alves,POR,D,1.89,189,80,27/11/1981,28,Port,FC Porto,G
3,View Full Profile,POR,D,1.82,182,76,18/01/1979,31,Lisbon,Chelsea,G
4,Rolling,POR,D,1.89,189,77,31/08/1985,24,Saint Vincent,FC Porto,G
5,Doubt,POR,M,1.8,180,76,27/06/1980,29,Lisbon,Malaga,G
6,View Full Profile,POR,D,1.83,183,76,18/05/1978,32,Amarante,Chelsea,G
7,Cristiano Ronaldo,POR,F,1.86,186,75,05/02/1985,25,Funchal,Real Madrid,G
8,Pedro Mendes,POR,M,1.77,177,77,26/02/1979,31,Guimar‹es,Sporting CP,G
9,Li_dson,POR,F,1.75,175,63,17/12/1977,32,Cairœ,Sporting CP,G
10,Danny,POR,M,1.78,178,70,07/08/1983,26,Caracas,Zenit St Petersburg,G
11,Simon,POR,F,1.7,170,64,31/10/1979,30,Constantine,Atletico Madrid,G
12,Beto,POR,G,1.8,180,80,01/05/1982,28,Loures,FC Porto,G
13,Miguel,POR,D,1.79,179,78,04/01/1980,30,Lisbon,Valence,G
14,Miguel Veloso,POR,M,1.8,180,79,11/05/1986,24,Coimbra,Sporting CP,G
15,Pepe,POR,D,1.86,186,72,26/02/1983,27,Macei—,Real Madrid,G
16,Raul Meireles,POR,M,1.79,179,69,17/03/1983,27,Port,FC Porto,G
17,Ruben Amorim,POR,M,1.78,178,73,27/01/1985,25,Lisbon,Benfica,G
18,Hugo Almeida,POR,F,1.91,191,93,23/05/1984,26,Figueira da Foz,Werder Bremen,G
19,Tiago,POR,M,1.83,183,75,02/05/1981,29,Viana do Castelo,Juventus,G
20,Deco,POR,M,1.74,174,73,08/08/1977,32,S‹o Bernardo do Campo,Chelsea,G
21,Ricardo Costa,POR,D,1.83,183,80,16/05/1981,29,Vila Nova de Gaia,Lille,G
22,Daniel Fernandes,POR,G,1.93,193,99,25/09/1983,26,Edmonton [CAN],Bochum,G
23,F‡bio Coentr‹o,POR,D,1.78,178,66,11/03/1988,22,Vila do Conde,Benfica,G
1,Claudio Bravo,CHI,G,1.84,184,84,13/04/1983,27,Viluco,Real Sociedad,H
2,Ismael Fuentes,CHI,D,1.81,181,79,04/08/1981,28,Petroca,Jaguares de Chiapas,H
3,Waldo Ponce,CHI,D,1.8,180,69,04/12/1982,27,Los Andes,O'Higgins,H
4,Mauricio Isla,CHI,D,1.76,176,75,12/06/1988,21,Buin,Udinese,H
5,Pablo Contreras,CHI,D,1.81,181,74,11/09/1978,31,Santiago,PAOK,H
6,Carlos Carmona,CHI,M,1.79,179,77,21/02/1987,23,Coquimbo,Reggina,H
7,Alexis S‡nchez,CHI,F,1.68,168,62,19/12/1988,21,Tocopilla,Udinese,H
8,Arturo Vidal,CHI,D,1.81,181,74,22/05/1987,23,Santiago,Bayer Leverkusen,H
9,Humberto Suazo,CHI,F,1.72,172,79,10/05/1981,29,San Antonio,Monterrey,H
10,Jorge Valdivia,CHI,M,1.73,173,71,19/10/1983,26,Maracaibo,Al-Ain,H
11,Mark Gonz‡lez,CHI,M,1.75,175,70,10/07/1984,25,Durban,CSKA Moscow,H
12,Miguel Pinto,CHI,G,1.8,180,73,04/07/1983,26,Santiago,Universidad de Chile,H
13,Marco Estrada,CHI,M,1.75,175,81,28/05/1983,27,Vi–a del Mar,Universidad de Chile,H
14,Mat’as Fern‡ndez,CHI,M,1.77,177,75,15/05/1986,24,Merlo,Sporting CP,H
15,Jean Beausejour,CHI,M,1.79,179,80,01/06/1984,26,Santiago,Am_rica,H
16,Fabi‡n Orellana,CHI,F,1.69,169,68,27/01/1986,24,Santiago,Udinese,H
17,Gary Medel,CHI,M,1.72,172,71,03/08/1987,22,Santiago,Universidad Cat—lica,H
18,Gonzalo Jara,CHI,D,1.78,178,77,29/08/1985,24,Santiago,WBA,H
19,Gonzalo Fierro,CHI,F,1.71,171,70,21/03/1983,27,Santiago,Flamengo,H
20,Rodrigo Millar,CHI,M,1.83,183,75,03/11/1981,28,Arauco,Colo-Colo,H
21,Rodrigo Tello,CHI,M,1.67,167,70,14/10/1979,30,Santiago,Be_ikta_,H
22,Esteban Paredes,CHI,F,1.76,176,78,01/08/1980,29,Santiago,Colo-Colo,H
23,Luis Mar’n,CHI,G,1.88,188,87,18/05/1983,27,Valpara’so,Uni—n Espa–ola,H
1,Ricardo Canales,HON,G,1.81,181,78,30/05/1982,28,La Ceiba,Motagua,H
2,Osman Ch‡vez,HON,D,1.86,186,91,29/07/1984,25,Santa F_,Platense,H
3,Maynor Figueroa,HON,D,1.8,180,85,02/05/1983,27,Juticalpa,Wigan Ath,H
4,Johnny Palacios,HON,D,1.83,183,74,20/12/1986,23,La Ceiba,Olimpia [HON],H
5,V’ctor Bern‡rdez,HON,D,1.84,184,78,24/05/1982,28,La Ceiba,Anderlecht,H
6,Hendry Thomas,HON,M,1.8,180,80,23/02/1985,25,La Ceiba,Wigan Ath,H
7,Ram—n Nœ–ez,HON,M,1.65,165,65,14/11/1985,24,Tegucigalpa,Olimpia [HON],H
8,Wilson Palacios,HON,M,1.78,178,71,29/07/1984,25,La Ceiba,Tottenham H,H
9,Carlos Pav—n,HON,F,1.78,178,76,09/10/1973,36,Tegucigalpa,Real Espa–a,H
10,Jerry Palacios,HON,F,1.83,183,81,13/05/1982,28,La Ceiba,Hangzhou Greentown,H
11,David Suazo,HON,F,1.82,182,75,05/11/1979,30,San Pedro Sula,Internazionale,H
12,Georgie Welcome,HON,F,1.9,190,81,09/03/1985,25,Roat‡n,Motagua,H
13,Roger Espinoza,HON,M,1.8,180,73,25/10/1986,23,Puerto Cortes,Kansas City Wizards,H
14,Oscar Boniek Garc’a,HON,D,1.75,175,72,04/09/1984,25,Tegucigalpa,Olimpia [HON],H
15,Walter Mart’nez,HON,F,1.68,168,68,28/03/1982,28,Tegucigalpa,Marath—n,H
16,Mauricio Sabill—n,HON,D,1.86,186,75,11/11/1978,31,Quimist‡n,Hangzhou Greentown,H
17,Edgar çlvarez,HON,M,1.72,172,79,08/01/1980,30,Puerto Cort_z,Bari,H
18,Noel Valladares,HON,G,1.9,190,82,03/05/1977,33,Comayagua,Olimpia [HON],H
19,Danilo Turcios,HON,M,1.65,165,65,08/05/1978,32,Sonaguera,Olimpia [HON],H
20,Amado Guevara,HON,M,1.8,180,75,02/05/1976,34,Tegucigalpa,Motagua,H
21,Emilio Izaguirre,HON,D,1.77,177,77,10/05/1986,24,Tegucigalpa,Motagua,H
22,Donis Escober,HON,G,1.8,180,75,03/02/1980,30,San Ignacio,Olimpia [HON],H
23,Sergio Mendoza,HON,D,1.75,175,77,23/05/1981,29,El Progreso,Motagua,H
1,Iker Casillas,ESP,G,1.85,185,79,20/05/1981,29,Madrid,Real Madrid,H
2,Raœl Albiol,ESP,D,1.87,187,74,04/09/1985,24,Valencia,Real Madrid,H
3,Gerard Piqu_,ESP,D,1.92,192,85,02/02/1987,23,Barcelona,Barcelona,H
4,Carlos Marchena,ESP,D,1.83,183,78,31/07/1979,30,Las Cabezas,Valencia,H
5,Carles Puyol,ESP,D,1.78,178,80,13/04/1978,32,La Pobla de Segur,Barcelona,H
6,Andr_s Iniesta,ESP,M,1.7,170,65,11/05/1984,26,Fuentealbilla,Barcelona,H
7,David Villa,ESP,F,1.75,175,69,03/12/1981,28,Langreo,Valencia,H
8,Xavi,ESP,M,1.7,170,68,25/01/1980,30,Terrassa,Barcelona,H
9,Fernando Torres,ESP,F,1.86,186,78,20/03/1984,26,Madrid,Liverpool,H
10,Cesc Fˆbregas,ESP,M,1.77,177,69,04/05/1987,23,Arenys de Mar,Arsenal,H
11,Joan Capdevila,ESP,D,1.82,182,78,03/02/1978,32,Tarrega,Villarreal,H
12,V’ctor Vald_s,ESP,G,1.83,183,78,14/01/1982,28,L'Hospitalet de Llobregat,Barcelona,H
13,Juan Mata,ESP,F,1.7,170,63,28/04/1988,22,Burgos,Valencia,H
14,Xabi Alonso,ESP,M,1.83,183,75,25/11/1981,28,Tolosa,Real Madrid,H
15,Sergio Ramos,ESP,D,1.83,183,73,30/03/1986,24,Camas,Real Madrid,H
16,Sergio Busquets,ESP,M,1.89,189,73,16/07/1988,21,Sabadell,Barcelona,H
17,çlvaro Arbeloa,ESP,D,1.83,183,76,17/01/1983,27,Salamanca,Real Madrid,H
18,Pedro,ESP,F,1.69,169,64,28/07/1987,22,Santa Cruz de Tenerife,Barcelona,H
19,Fernando Llorente,ESP,F,1.95,195,94,26/02/1985,25,Iru–ea,Athletic Bilbao,H
20,Javi Mart’nez,ESP,M,1.9,190,81,02/09/1988,21,Lizarra,Athletic Bilbao,H
21,David Silva,ESP,M,1.7,170,67,08/01/1986,24,Arguinegu’n,Valencia,H
22,Jesœs Navas,ESP,M,1.7,170,60,21/11/1985,24,Los Palacios,Sevilla,H
23,Pepe Reina,ESP,G,1.88,188,92,31/08/1982,27,Madrid,Liverpool,H
1,Diego Benaglio,SUI,G,1.93,193,83,08/09/1983,26,ZŸrich,Wolfsburg,H
2,Stephan Lichtsteiner,SUI,D,1.81,181,69,16/01/1984,26,Adligenswil,Lazio,H
3,Ludovic Magnin,SUI,D,1.86,186,78,20/04/1979,31,Lausanne,ZŸrich,H
4,Philippe Senderos,SUI,D,1.9,190,84,14/02/1985,25,Geneva,Arsenal,H
5,Steve von Bergen,SUI,D,1.81,181,76,10/06/1983,27,Neuch‰tel,Hertha Berlin,H
6,Benjamin Huggel,SUI,M,1.88,188,91,07/07/1977,32,Dornach,Basel,H
7,Tranquillo Barnetta,SUI,M,1.78,178,69,22/05/1985,25,Rotmonten,Bayer Leverkusen,H
8,G_khan Inler,SUI,M,1.82,182,77,27/06/1984,25,Olten,Udinese,H
9,Alexander Frei,SUI,F,1.79,179,73,15/07/1979,30,Basel,Basel,H
10,Blaise Nkufo,SUI,F,1.86,186,86,25/05/1975,35,Kinshasa,FC Twente,H
11,Valon Behrami,SUI,M,1.85,185,78,19/04/1985,25,MitrovicaÊ,West Ham U,H
12,Marco W_lfli,SUI,G,1.86,186,85,22/08/1982,27,Grenchen,Young Boys,H
13,St_phane Grichting,SUI,D,1.86,186,80,30/03/1979,31,Sierre,Auxerre,H
14,Marco Padalino,SUI,M,1.77,177,73,08/12/1983,26,Viganello,Sampdoria,H
15,Hakan Yakin,SUI,F,1.8,180,78,22/02/1977,33,Basel,Luzern,H
16,Gelson Fernandes,SUI,M,1.83,183,70,02/09/1986,23,Praia,St-Etienne,H
17,Reto Ziegler,SUI,D,1.83,183,79,16/01/1986,24,Geneva,Sampdoria,H
18,Albert Bunjaku,SUI,F,1.78,178,77,29/11/1983,26,Gnjilane,NŸrnberg,H
19,Eren Derdiyok,SUI,F,1.9,190,83,12/06/1988,21,Basel,Bayer Leverkusen,H
20,Pirmin Schwegler,SUI,M,1.76,176,74,09/03/1987,23,Ettiswil,Eintracht Frankfurt,H
21,Johnny Leoni,SUI,G,1.89,189,80,30/06/1984,25,Sion,ZŸrich,H
22,Mario Eggimann,SUI,D,1.9,190,84,24/01/1981,29,Brugg,Hannover 96,H
23,Xherdan Shaqiri,SUI,M,1.68,168,61,10/10/1991,18,Gnjilane,Basel,H
